temperature,wind,gust,cloud,humidity,weather
31,10,14,81,67,Rain
29,11,17,36,76,Rain
27,14,19,56,84,Rain
33,16,20,50,60,Rain
30,17,29,72,74,Rain
28,15,27,71,81,Rain
27,16,28,71,84,Rain
26,15,26,78,87,Rain
27,13,21,85,86,Rain
29,16,23,88,72,Rain
32,18,22,50,61,Rain
30,12,20,51,74,Rain
27,9,14,65,86,Rain
27,12,17,39,84,Rain
32,15,18,46,63,Rain
29,12,22,72,76,Rain
28,11,17,38,80,Rain
32,17,22,80,60,Rain
32,17,22,76,60,Rain
30,13,20,47,71,Rain
27,13,21,42,83,Rain
29,15,30,57,76,Rain
27,13,21,39,82,Rain
27,8,12,58,85,Rain
29,13,17,58,73,Rain
32,16,23,75,64,Rain
31,18,35,71,68,Rain
28,17,34,72,77,Rain
27,15,25,37,83,Rain
26,12,18,62,85,Rain
30,17,34,61,71,Rain
30,14,26,73,71,Rain
29,9,15,87,78,Rain
28,7,11,47,82,Rain
33,12,15,47,60,Rain
29,16,25,56,74,Rain
30,16,24,83,73,Rain
27,17,27,76,81,Rain
27,17,26,75,83,Rain
27,18,29,74,84,Rain
27,20,32,59,82,Rain
28,22,33,58,77,Rain
29,22,35,68,76,Rain
28,22,37,65,78,Rain
27,21,35,70,83,Rain
26,19,30,65,87,Rain
25,19,30,63,89,Rain
26,16,25,57,86,Rain
30,26,31,70,68,Rain
28,18,31,49,78,Rain
27,9,13,40,85,Rain
29,16,28,78,75,Rain
27,13,22,43,80,Rain
31,17,20,55,64,Rain
28,18,35,76,76,Rain
27,18,31,78,82,Rain
26,17,28,89,85,Rain
25,19,29,99,89,Rain
25,21,31,10,92,Rain
26,21,31,0,84,Rain
28,18,24,77,75,Rain
26,16,27,56,83,Rain
25,19,31,74,86,Rain
25,19,32,67,87,Rain
25,16,25,82,86,Rain
26,19,27,90,79,Rain
25,17,25,56,81,Rain
25,15,23,83,84,Rain
28,22,31,74,76,Rain
30,26,40,80,70,Rain
29,24,42,75,73,Rain
27,19,35,78,80,Rain
26,18,31,86,84,Rain
25,15,24,68,87,Rain
26,14,21,66,86,Rain
31,26,30,50,66,Rain
28,19,31,90,74,Rain
27,17,28,61,79,Rain
26,15,23,73,84,Rain
29,21,29,76,71,Rain
31,27,36,83,59,Rain
31,24,31,71,61,Rain
29,17,24,69,71,Rain
27,14,22,42,77,Rain
32,18,26,85,62,Rain
32,19,29,87,61,Rain
29,15,23,82,71,Rain
